time,tmin,tmax,prcp,wdir,wspd,wpgt,pres
2020-01-01,-1.8,5.5,0.0,268.9,7.4,24.1,1035.7
2020-01-02,-5.0,1.0,0.0,292.7,5.7,14.8,1031.9
2020-01-03,-2.5,6.8,0.2,254.5,10.1,42.6,1023.9
2020-01-04,4.5,7.9,4.9,283.3,22.5,59.3,1023.6
2020-01-05,1.9,6.6,0.0,292.4,14.4,50.0,1034.3
2020-01-06,0.8,4.6,0.0,243.7,5.2,14.8,1031.0
2020-01-07,-2.6,3.8,0.0,279.9,7.4,18.5,1027.6
2020-01-08,3.1,7.6,2.3,247.2,8.7,25.9,1027.9
2020-01-09,6.1,8.4,8.1,244.1,5.7,16.7,1021.6
2020-01-10,7.6,11.5,0.2,257.3,11.6,35.2,1018.6
2020-01-11,1.8,8.7,0.0,277.7,12.1,33.3,1030.9
2020-01-12,-0.7,5.7,0.0,251.4,9.5,33.3,1026.8
2020-01-13,4.2,7.0,0.0,256.4,9.0,33.3,1023.2
2020-01-14,1.9,4.2,0.0,141.1,5.3,13.0,1018.7
2020-01-15,1.5,4.2,0.0,92.8,5.1,13.0,1022.2
2020-01-16,1.0,4.9,0.0,342.5,5.1,13.0,1030.8
2020-01-17,0.3,2.7,0.0,66.0,5.4,14.8,1025.3
2020-01-18,2.4,4.9,0.6,293.4,6.5,18.5,1025.3
2020-01-19,1.8,6.2,0.0,302.7,9.2,22.2,1034.0
2020-01-20,0.8,6.5,0.0,277.7,7.5,18.5,1046.2
2020-01-21,-3.4,3.8,0.0,251.5,6.3,16.7,1043.6
2020-01-22,-2.4,4.8,0.0,290.1,8.8,25.9,1035.4
2020-01-23,-0.7,5.2,0.0,272.0,5.5,14.8,1034.5
2020-01-24,-2.4,2.8,0.0,265.3,5.8,14.8,1026.7
2020-01-25,-1.6,3.4,0.0,272.2,5.4,14.8,1023.8
2020-01-26,0.3,2.7,0.0,339.5,4.5,11.1,1022.0
2020-01-27,1.6,3.9,0.0,128.0,5.2,13.0,1015.5
2020-01-28,3.2,8.7,2.7,222.5,15.9,63.0,1000.0
2020-01-29,3.2,7.0,0.0,267.4,22.8,51.8,1005.4
2020-01-30,3.8,9.5,0.0,257.1,18.9,46.3,1011.8
2020-01-31,5.8,15.5,0.0,266.2,21.2,48.2,1006.9
2020-02-01,11.8,15.2,4.6,262.7,22.0,50.0,1006.5
2020-02-02,8.7,12.9,4.3,271.9,22.5,59.3,1008.4
2020-02-03,9.4,12.9,2.0,277.9,24.7,55.5,1010.0
2020-02-04,4.5,9.4,18.1,302.0,20.3,50.0,1007.3
2020-02-05,0.7,5.2,5.2,322.3,22.8,59.3,1027.2
2020-02-06,1.5,6.1,0.0,284.0,14.8,31.5,1031.3
2020-02-07,4.4,7.4,0.0,306.1,7.9,22.2,1030.3
2020-02-08,0.7,5.5,0.0,154.7,5.2,13.0,1027.6
2020-02-09,-1.0,4.6,0.0,224.8,9.2,48.2,1018.9
2020-02-10,7.3,13.7,8.4,255.7,33.6,87.0,997.9
2020-02-11,4.8,8.7,2.7,269.7,32.8,79.6,1001.5
2020-02-12,3.9,7.3,0.1,269.7,28.5,66.7,1012.5
2020-02-13,2.7,7.2,1.4,203.1,10.7,38.9,1013.4
2020-02-14,4.1,10.3,0.9,270.5,11.5,37.0,1016.0
2020-02-15,3.1,9.5,0.0,228.6,6.7,16.7,1025.3
2020-02-16,1.3,8.3,0.0,198.8,7.7,27.8,1017.3
2020-02-17,4.7,12.8,0.0,264.4,14.5,35.2,1015.4
2020-02-18,6.7,10.8,0.0,262.0,23.2,59.3,1021.4
2020-02-19,5.2,7.9,1.5,257.9,17.6,44.5,1018.1
2020-02-20,2.1,8.2,0.1,237.4,10.9,33.3,1020.6
2020-02-21,5.0,8.9,2.1,270.3,20.5,53.7,1022.6
2020-02-22,5.7,12.4,0.0,257.9,22.9,61.1,1022.5
2020-02-23,9.8,13.8,12.6,270.3,34.0,88.9,1013.8
2020-02-24,5.1,9.3,2.1,268.9,19.2,79.6,1017.7
2020-02-25,6.7,11.7,2.9,257.5,18.5,46.3,1001.3
2020-02-26,4.5,7.7,1.6,266.0,21.1,57.4,996.9
2020-02-27,2.6,7.6,2.1,256.0,15.4,37.0,1002.7
2020-02-28,2.0,7.4,4.5,292.8,16.5,46.3,1012.6
2020-02-29,1.8,8.0,5.6,189.1,7.8,22.2,1004.8
2020-03-01,4.7,11.9,1.0,244.9,12.5,38.9,1000.4
2020-03-02,3.2,11.5,0.0,211.6,12.8,38.9,995.1
2020-03-03,4.9,8.1,2.8,295.9,13.4,40.8,999.2
2020-03-04,1.7,8.6,0.0,267.0,13.6,38.9,1011.9
2020-03-05,0.0,10.8,0.8,124.6,9.5,27.8,1004.7
2020-03-06,5.1,9.1,4.8,219.0,12.5,38.9,994.8
2020-03-07,4.9,7.9,2.8,288.0,18.3,46.3,1012.7
2020-03-08,1.7,10.9,0.0,249.3,10.1,31.5,1019.2
2020-03-09,3.4,11.3,2.1,263.1,7.5,22.2,1013.7
2020-03-10,4.9,10.2,11.6,249.6,16.7,50.0,1011.9
2020-03-11,10.4,13.0,18.8,271.2,18.5,50.0,1010.7
2020-03-12,8.9,17.0,0.0,260.8,21.5,66.7,1010.6
2020-03-13,6.1,11.0,0.0,271.5,24.1,74.1,1015.4
2020-03-14,0.4,9.9,0.0,7.9,9.9,29.6,1023.8
2020-03-15,-3.0,11.6,0.0,125.6,9.9,29.6,1024.0
2020-03-16,-1.2,15.8,0.0,276.7,6.9,16.7,1022.1
2020-03-17,5.2,15.2,0.6,279.4,8.1,20.4,1028.0
2020-03-18,6.4,18.6,0.0,263.9,9.4,24.1,1028.3
2020-03-19,8.0,18.9,0.0,279.5,8.0,20.4,1024.9
2020-03-20,7.2,14.8,1.7,1.1,9.1,27.8,1023.0
2020-03-21,1.7,7.0,3.8,42.7,16.3,38.9,1027.0
2020-03-22,-1.2,5.6,0.0,60.9,14.1,37.0,1034.3
2020-03-23,-3.7,6.9,0.0,61.6,11.4,35.2,1038.1
2020-03-24,-4.3,8.1,0.0,89.8,11.2,33.3,1036.1
2020-03-25,-3.8,8.6,0.0,82.2,15.1,42.6,1031.2
2020-03-26,-0.5,10.7,0.0,90.6,18.2,48.2,1025.3
